TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
43,02,Réalisation d’aires de jeux et de loisirs,,R151-43 2°
43,03,Réglementation des plantations,,R151-43 8°
44,00,Stationnement,,R151-44
44,01,Stationnement minimal,,R151-44 
44,02,Stationnement maximal,,R151-45 3°
44,03,Caractéristiques et type de stationnement,,R151-45 1°
44,04,Minoration des règles de stationnement,,R151-45 2°
44,05,Réalisation d’aires de livraisons imposée,L151-33-1,
44,98,Stationnement règles alternatives,,R151-13
47,00,Desserte par les réseaux,,R151-49 
47,01,Réseaux publics d'eau,,R151-49 
47,02,Réseaux publics d'électricité,,R151-49 
47,03,Réseaux publics d'assainissement,,R151-49 
47,04,Conditions de réalisation d'un assainissement non collectif,,R151-49 
47,05,Infrastructures et réseaux de communications électroniques,,R151-49 3°
48,00,Mesures pour limiter l'imperméabilisation des sols,,R151-49 2°
48,01,Installations nécessaires à la gestion des eaux pluviales et du ruissellement,,R151-43 7° et R151-49 2°
50,00,"Interdiction types d’activités, destinations, sous-destinations",,R151-30 
51,00,"Autorisation sous conditions types d’activités, destinations, sous-destinations",,R151-33
52,00,"Infrastructures et équipements logistiques à préserver ou à développer en zones U et AU",L.151-16-2,
53,00,"Dérogation à l’article L.111-6 pour l’implantation des constructions le long des grands axes routiers",L.111-8,
99,00,Autre,,
99,01,Autre: affectation des sols et destination des constructions,,R151-27 à R151-29 et R151-30 à R151-36 
99,02,"Autre: zones naturelles, agricoles ou forestières",,R151-17 à R151-26 
99,03,Autre: mixité sociale et fonctionnelle en zones urbaines ou à urbaniser,,R151-37 à R151-38 
99,05,"Autre : Qualité urbaine, architecturale, environnementale et paysagère",,R151-41 à R151-42 
99,06,Autre: Traitement environnemental et paysager des espaces non bâtis et abords des constructions,,R151-43 
99,07,Autre: densité,,R151-39 à R151-40 
99,08,"Autre: équipements, réseaux et emplacements réservés",,R151-47 à R151-48 et R151-49 à R151-50
