TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
16,04,Constructions et installations nécessaires à l’activité agricole en zone A ou N,L151-11 II,R151-23 1° et R151-25 1°
17,00,Secteur à programme de logements mixité sociale en zone U et AU,L151-15,R151-38 3°
18,00,Périmètre comportant des orientations d’aménagement et de programmation (OAP),L151-7 1°,R313-4
18,01,OAP de projet (sans règlement),L151-7 1°,R313-4
18,02,OAP entrées de ville,L151-7 1°,R313-4
18,03,"OAP relatives à la réhabilitation, la restructuration, la mise en valeur ou l’aménagement",,
18,04,OAP d’adaptation des périmètres de transports collectifs,,
18,05,"OAP patrimoniales, architecturales et écologiques",,
18,06,OAP relatives à l’habitat,,
18,07,OAP comprenant des dispositions relatives à l'équipement commercial et artisanal,,
18,08,OAP relatives aux transports et aux déplacements,,
18,12,OAP secteurs de renaturation L.,151-7 I 4°,
18,13,OAP relatives à la protection des franges urbaines et rurales,L.151-7 I 7°,
18,14,OAP recul du trait de côte,L.151-7 III,
19,00,Secteur protégé en raison de la richesse du sol et du sous-sol,,R151-34 2°
20,00,Secteur à transfert de constructibilité en zone N,,R151-36 
22,00,Diversité commerciale à protéger ou à développer,,R151-37 4°
22,01,Diversité commerciale à protéger,,R151-37 4°
22,02,Diversité commerciale à développer,,R151-37 4°
22,03,Linéaire commercial protégé,,R151-37 4°
22,04,Linéaire commercial protégé renforcé,,R151-37 4°
23,00,Secteur avec taille minimale des logements en zone U et AU,,R151-38 2°
24,00,"Voies, chemins, transport public à conserver et à créer",,R151-48 1°
24,01,"Voies de circulation à créer, modifier ou conserver",,R151-48 1°
24,02,Voies de circulation à modifier,,R151-48 1°
24,03,Voies de circulation à créer,,R151-48 1°
24,04,Voies de circulation à conserver,,R151-48 1°
24,50,Passage ou liaison piétonne à maintenir ou à créer,,R151-48 1°
25,00,Eléments de continuité écologique et trame verte et bleue,,R151-43 4°et R151-43 8 °
26,00,Secteur de performance énergétique,,R151-42 1°
26,01,Secteur de performance énergétique renforcé,,R151-42 2°
27,00,Secteur d’aménagement numérique,,R151-50 2°
28,00,Conditions de desserte,,R151-47 1° et 2°
28,01,Conditions permettant une bonne desserte des terrains par les services publics de collecte des déchets,,R151-47 2°
29,00,Secteur avec densité minimale de construction,,R151-39 2e al.
29,01,Secteur avec densité minimale de construction à proximité des transports collectifs,,R151-39 2e al.
29,02,Secteur de ZAC avec densité minimale de construction,L151-27 2e al.,
30,00,Majoration des volumes constructibles,L151-28,R151-37 2°
30,01,Majoration des volumes constructibles pour l’habitation,L151-28 1°,R151-37 5°
30,02,Majoration des volumes constructibles pour les programmes comportant des logements locatifs sociaux,L151-28 2°,R151-37 2°
30,03,Majoration des volumes constructibles pour exemplarité énergétique ou environnementale,L151-28 3°,R151-42 3°
30,04,Majoration des volumes constructibles pour les programmes comportant des logements intermédiaires,L151-28 4°,R151-37 7°
31,00,Espaces remarquables du littoral,L121-23,R121-4 1° à 8°
31,01,"Dunes, landes côtières, plages et lidos, estrans, falaises et abords",L121-23,R121-4  1°
31,02,Forêts et zones boisées proches du rivage de la mer et des plans d’eau intérieurs d’une superficie supérieure à 1 000 hectares,L121-23,R121-4  2°
31,03,Ilots inhabités,L121-23,R121-4  3°
31,04,"Parties naturelles des estuaires, des rias ou abers et des caps",L121-23,R121-4  4°
31,05,"Marais, vasières, tourbières, plans d'eau, les zones humides et milieux temporairement immergés",L121-23,R121-4  5°
31,06,Milieux abritant des concentrations naturelles d'espèces animales ou végétales,L121-23,R121-4  6°
31,07,Parties naturelles des sites inscrits ou classés ,L121-23,R121-4  7°
31,08,Formations géologiques,L121-23,R121-4  8°
32,00,Exclusion protection de plans d’eau de faible importance,L122-12,R122-2
33,00,Secteur de dérogation aux protections des rives des plans d'eau en zone de montagne,L122-14 1°,
34,00,"Espaces, paysage et milieux caractéristiques du patrimoine naturel et culturel montagnard à préserver",L122-9,
35,00,"Terres nécessaires au maintien et au développement des activités agricoles, pastorales et forestières à préserver",L122-10,
36,00,Mixité des destinations ou sous-destinations,,R151-37 1°
37,00,Règles différenciées entre le rez-de-chaussée et les étages supérieurs des constructions,,R151-37 3°
37,01,Règles différenciées pour le rez-de-chaussée en raison des risques inondations,,R151-42 4°
37,02,Règles différenciées pour mixité sociale et fonctionnelle,,R151-37 1° et 3°
38,00,Emprise au sol,L631-4 CP I 2°a,R151-39 
38,01,Emprise au sol minimale,L631-4 CP I 2°a,R151-39 2e al.
38,02,Emprise au sol maximale,L631-4 CP I 2°a,R151-39 1er al.
38,97,Emprise au sol règles qualitatives,L631-4 CP I 2°a,R151-39 al.
38,98,Emprise au sol règles alternatives,L631-4 CP I 2°a,R151-41 1°
39,00,Hauteur,L631-4 CP I 2°a,R151-39 
39,01,Hauteur minimale,L631-4 CP I 2°a,R151-39 2e al.
39,02,Hauteur maximale,L631-4 CP I 2°a,R151-39 1er al.
39,50,Hauteur maximale de façade,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,51,Hauteur maximale de faîtage ou de construction,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,52,Hauteur imposée de façade,L631-4 CP I 2°a,R151-39 1er et 2e al.
39,97,Hauteur règles qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
39,98,Hauteur règles alternatives,L631-4 CP I 2°a,R151-41 1°
40,00,Volumétrie,L631-4 CP I 2°a,R151-39
40,01,Volumétrie minimale,L631-4 CP I 2°a,R151-39 2e al.
40,02,Volumétrie maximale,L631-4 CP I 2°a,R151-39 1er al.
40,50,"Point de vue, perspective à préserver et à mettre en valeur","L631-4 CP I 2°a","R151-39 dernier al."
40,97,Règles volumétriques qualitatives,L631-4 CP I 2°a,R151-39 dernier al.
40,98,Règles volumétriques alternatives,L631-4 CP I 2°a,R151-41 1°
41,00,Aspect extérieur,L631-4 CP I 2°a,R151-41 2°
41,01,Aspect extérieur façades,L631-4 CP I 2°a,R151-41 2°
41,02,Aspect extérieur toitures,L631-4 CP I 2°a,R151-41 2°
41,03,Aspect extérieur clôtures,L631-4 CP I 2°a,R151-41 2°
41,98,Aspect extérieur règles alternatives,L631-4 CP I 2°a,R151-13 
42,00,Coefficient de biotope par surface,,R151-43 1°
43,00,"Réalisation d’espaces libres, plantations, aires de jeux et de loisir",,R151-43 2° et 8°
43,01,"Réalisation d’espaces libres,",,R151-43 2°
43,02,Réalisation d’aires de jeux et de loisirs,,R151-43 2°
43,03,Réglementation des plantations,,R151-43 8°
43,50,Espace vert à créer,,R151-43 2°
43,51,"Place, cour, ou autre espace libre à dominante minérale à créer",,R151-43 2°
44,00,Stationnement,,R151-44
44,01,Stationnement minimal,,R151-44 
44,02,Stationnement maximal,,R151-45 3°
44,03,Caractéristiques et type de stationnement,,R151-45 1°
44,04,Minoration des règles de stationnement,,R151-45 2°
44,05,Réalisation d’aires de livraisons imposée,L151-33-1,
44,98,Stationnement règles alternatives,,R151-13
45,00,"Zone d’aménagement concerté (surface de plancher, destination)",,
46,00,Constructibilité espace boisé antérieur au 20ème siècle,,
47,00,Desserte par les réseaux,,R151-49 
47,01,Réseaux publics d'eau,,R151-49 
47,02,Réseaux publics d'électricité,,R151-49 
47,03,Réseaux publics d'assainissement,,R151-49 
47,04,Conditions de réalisation d'un assainissement non collectif,,R151-49 
47,05,Infrastructures et réseaux de communications électroniques,,R151-49 3°
48,00,Mesures pour limiter l'imperméabilisation des sols,,R151-49 2°
48,01,Installations nécessaires à la gestion des eaux pluviales et du ruissellement,,R151-43 7° et R151-49 2°
49,00,Opération d'ensemble imposée en zone AU,,R151-20 
49,01,Urbanisation par opération d'ensemble,,R151-20 2e al.
49,02,Urbanisation conditionnée à la réalisation des équipements internes à la zone,,R151-20 3e al.
50,00,"Interdiction types d’activités, destinations, sous-destinations",,R151-30 
51,00,"Autorisation sous conditions types d’activités, destinations, sous-destinations",,R151-33 
54,01,Zone exposée au recul du trait de côte à l'horizon de trente ans,,
54,02,Zone exposée au recul du trait de côte à un horizon compris entre trente et cent ans,,
55,00,"Secteur d’implantation d’installations de production d'énergies renouvelables, et leurs ouvrages de raccordement, soumises à conditions,,
55,01,Secteur d'exclusion d'installations de prod. d'énergies renouvelables,,
56,00,Secteur dans lequel toutes les constructions nouvelles de logements sont à usage exclusif de résidence principale,,
97,00,"Périmètre d’application d’une pièce écrite territorialisée (rapport de présentation, PADD, règlement, règlement graphique, POA)",,
99,00,Autre,,
99,01,Autre: affectation des sols et destination des constructions,,R151-27 à R151-29 et R151-30 à R151-36 
99,02,"Autre: zones naturelles, agricoles ou forestières",,R151-17 à R151-26 
99,03,Autre: mixité sociale et fonctionnelle en zones urbaines ou à urbaniser,,R151-37 à R151-38 
99,04,Autre: qualité du cadre de vie,,
99,05,"Autre : Qualité urbaine, architecturale, environnementale et paysagère",,R151-41 à R151-42 
99,06,Autre: Traitement environnemental et paysager des espaces non bâtis et abords des constructions,,R151-43 
99,07,Autre: densité,,R151-39 à R151-40 
99,08,"Autre: équipements, réseaux et emplacements réservés",,R151-47 à R151-48 et R151-49 à R151-50
99,09,Autre: plan local d’urbanisme tenant lieu de programme local de l’habitat et de plan de déplacements urbains,,
