TYPEPSC,STYPEPSC,LIBELLE,REFLOI,REFREGLE
24,01,"Voies de circulation à créer, modifier ou conserver",L151-38,R151-48 1°
24,02,Voies de circulation à modifier,L151-38,R151-48 1°
24,03,Voies de circulation à créer,L151-38,R151-48 1°
24,04,Voies de circulation à conserver,L151-38,R151-48 1°
25,00,Eléments de continuité écologique et trame verte et bleue,L151-23 al. 2,R151-43 4°et R151-43 8 °
28,00,Conditions de desserte,,R151-47 1° et 2°
28,01,Conditions permettant une bonne desserte des terrains par les services publics de collecte des déchets,,R151-47 2°
31,00,Espaces remarquables du littoral,L121-23,R121-4 1° à 8°
31,01,"Dunes, landes côtières, plages et lidos, estrans, falaises et abords",L121-23,R121-4  1°
31,02,Forêts et zones boisées proches du rivage de la mer et des plans d’eau intérieurs d’une superficie supérieure à 1 000 hectares,L121-23,R121-4  2°
31,03,Ilots inhabités,L121-23,R121-4  3°
31,04,"Parties naturelles des estuaires, des rias ou abers et des caps",L121-23,R121-4  4°
31,05,"Marais, vasières, tourbières, plans d'eau, les zones humides et milieux temporairement immergés",L121-23,R121-4  5°
31,06,Milieux abritant des concentrations naturelles d'espèces animales ou végétales,L121-23,R121-4  6°
31,07,Parties naturelles des sites inscrits ou classés ,L121-23,R121-4  7°
31,08,Formations géologiques,L121-23,R121-4  8°
33,00,Secteur de dérogation aux protections des rives des plans d'eau en zone de montagne,L122-14 1°,
34,00,"Espaces, paysage et milieux caractéristiques du patrimoine naturel et culturel montagnard à préserver",L122-9,
35,00,"Terres nécessaires au maintien et au développement des activités agricoles, pastorales et forestières à préserver",L122-10,
39,00,Hauteur,,R151-39
39,01,Hauteur minimale,,R151-39 2e al.
39,02,Hauteur maximale,,R151-39 1er al.
39,97,Hauteur règles qualitatives,,R151-39 dernier al.
39,98,Hauteur règles alternatives,,R151-41 1°
40,00,Volumétrie,,R151-39
40,01,Volumétrie minimale,,R151-39 2e al.
40,02,Volumétrie maximale,,R151-39 1er al.
40,97,Règles volumétriques qualitatives,,R151-39 dernier al.
40,98,Règles volumétriques alternatives,,R151-41 1°
41,00,Aspect extérieur,L151-18,R151-41 2°
41,01,Aspect extérieur façades,L151-18,R151-41 2°
41,02,Aspect extérieur toitures,L151-18,R151-41 2°
41,03,Aspect extérieur clôtures,L151-18,R151-41 2°
41,98,Aspect extérieur règles alternatives,,R151-13
43,00,"Réalisation d’espaces libres, plantations, aires de jeux et de loisir",,R151-43 2°
43,01,Réalisation d’espaces libres,,R151-43 2°
43,02,Réalisation d’aires de jeux et de loisirs,,R151-43 2°
43,03,Réalisation de plantations,,R151-43 2°
44,00,Stationnement,,R151-44
44,01,Stationnement minimal,L151-30 à L151-37,R151-44
44,02,Stationnement maximal,L151-30 à L151-37,R151-45 3°
44,03,Caractéristiques et type de stationnement,,R151-45 1°
44,04,Minoration des règles de stationnement,,R151-45 2°
44,05,Réalisation d’aires de livraisons imposée,L151-33-1,
44,98,Stationnement règles alternatives,,R151-13
47,00,Desserte par les réseaux,L151-39,R151-49
47,01,Réseaux publics d'eau,L151-39,R151-49
47,02,Réseaux publics d'électricité,L151-39,R151-49
47,03,Réseaux publics d'assainissement,L151-39,R151-49
47,04,Conditions de réalisation d'un assainissement non collectif,L151-39,R151-49
47,05,Infrastructures et réseaux de communications électroniques ,L151-39,R151-49 3°
48,00,Mesures pour limiter l'imperméabilisation des sols,,R151-49 2°
48,01,Installations nécessaires à la gestion des eaux pluviales et du ruissellement,,R151-43 7° et R151-49 2°
50,00,"Interdiction types d’activités, destinations, sous-destinations",L151-9,R151-30
51,00,"Autorisation sous conditions types d’activités, destinations, sous-destinations",L151-9,R151-33
52,00,Infrastructures et équipements logistiques à préserver ou à développer en zones U et AU,L151-16-2,
53,00,"Dérogation à l’article L.111-6 pour l’implantation des constructions le long des grands axes routiers",L.111-8,
99,00,Autre,,
99,01,Autre: affectation des sols et destination des constructions,L151-9 à L151-10,R151-27 à R151-29 et R151-30 à R151-36
99,02,"Autre: zones naturelles, agricoles ou forestières",L151-11 à L151-13,R151-17 à R151-26
99,03,Autre: mixité sociale et fonctionnelle en zones urbaines ou à urbaniser,L151-14 à L151-16,R151-37 à R151-38
99,04,Autre: qualité du cadre de vie,L151-17 à L151-25,
99,05,"Autre: Qualité urbaine, architecturale, environnementale et paysagère",,R151-41 à R151-42
99,06,Autre: Traitement environnemental et paysager des espaces non bâtis et abords des constructions,,R151-43
99,07,Autre: densité,L151-26 à L151-29,R151-39 à R151-40
99,08,"Autre: équipements, réseaux et emplacements réservés",L151-38 à L151-42,R151-47 à R151-48 et R151-49 à R151-50
99,09,Autre: plan local d’urbanisme tenant lieu de programme local de l’habitat et de plan de déplacements urbains,L151-44 à L151-48,R151-54 à R151-55
99,10,Autre: plan local d’urbanisme tenant lieu de plan de déplacements urbains,L151-44 à L151-48,R151-55
